,LocatiePostcode,Soort aanvraagOmschrijvingKadastrale aanduiding,BVnummer,DatumBinnenkomst,Einddatum  ,EindStatus
59,Stationsplein 1072312AJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen informatiebord bij kunstwerk,190746,19-03-2019,,
60,Stationsweg 212312AS,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)L 02104G0000,190740,18-03-2019,19-03-2019,Verleend
61,Steenstraat 22312BW,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)B 03448G0000,190759,19-03-2019,20-03-2019,Verleend
62,Van der Werfstraat 25B2312VS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebestaande garages verbouwen tot 2 appartementenH 04198G0000,190754,19-03-2019,,
63,Vlietweg 2323LA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervanging brug 258 in de VlietwegV 02517,190766,20-03-2019,,
64,Vollersgracht 202312VL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen kantoor in 3 appartementenH 03731G0000,190704,13-03-2019,,
65,Wasstraat 2E2313JJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel in voordakvlak en nieuwe kozijnenM 08097A0002,190719,14-03-2019,,
66,Willem de Zwijgerlaan 622315AV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen reclameN 02062G0000,190121,16-01-2019,14-03-2019,Verleend
67,Witte Singel 322311BH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen bijgebouw in achtertuinM 07526G0000,190707,13-03-2019,09-04-2019,Vervallen
68,Zaaijerplein 962333BG,Kabels en Leidingen Telecomaanleggen telecommunicatiekabels KPN B.V.,183027,26-11-2018,18-03-2019,Verleend
69,Zoeterwoudsesingel 502313EK,Kabels en Leidingen Telecomaanleggen telecommunicatiekabels Ziggo B.V.M 06211G0000,190270,30-01-2019,18-03-2019,Verleend
0,2e Binnenvestgracht 5B2312BZ,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten),190605,06-03-2019,11-03-2019,Verleend
1,Aaltje Noordewierlaan 522324KT,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)O 03123G0000,190697,13-03-2019,14-03-2019,Verleend
2,Ballonstraat ,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels Netwerk Exploitatiemaatschappij B.V.,182862,07-11-2018,08-03-2019,Verleend
3,Boerenpad 12322LA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen van een schuur  locatie G02T 06228G0000,190664,08-03-2019,,
4,Boerenpad 12322LA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen luifel en schuur  locatie H 25T 06228G0000,190667,08-03-2019,,
5,Boerenpad 12322LA,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduretuinhuis uitbreiden met veranda  tuinvereniging Cronesteyn E3T 06228G0000,190668,08-03-2019,,
6,Boerenpad 12322LA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen van een luifel  Tuinvereniging Cronesteyn 8 BT 06228G0000,190671,08-03-2019,,
7,Bontiuspad ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van een kastanje  voorzijde PoortgebouwR 01811,190639,08-03-2019,,
8,Breestraat 282311CS,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)G 01859G0000,190659,11-03-2019,11-03-2019,Verleend
9,Breestraat 502311CS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen nieuwe hekwerken + verhoging balustradeG 02003,190701,13-03-2019,,
10,Breestraat 652311CJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerestauratie voorgevelG 00424G0000,190665,11-03-2019,,
11,Breestraat 1302311CX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen gevelreclame,190698,13-03-2019,,
12,Cobetstraat 22313KC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouw schuur in achtertuinM 07894G0000,190658,10-03-2019,,
13,Cobetstraat 122313KC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevergroten en veranderen woningM 03938G0000,183113,05-12-2018,11-03-2019,Verleend
14,Ebel Magninpad ,Kabels en Leidingen Nutsaanleggen waterleidingen N.V. Nuon Heat,182738,23-10-2018,11-04-2019,Verleend
15,Esther de Boer-v Rijkstr 112331HH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voordakvlakW 04966G0000,190609,06-03-2019,19-03-2019,Verleend
16,Frans van Mierisstraat 72316AK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurehet verbouwen en uitbreiden van de woning met een tweede verdiepingK 03896G0000,183007,24-11-2018,12-03-2019,Verleend
17,Gangetje 12311ER,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduresplitsen bovenwoning in 4 appartementenG 01871,190631,07-03-2019,,
18,Gemeente Leiden ,Aanvraag collectevergunningcollectevergunning (t.b.v. Stichting DEAL Foundation),190660,09-03-2019,10-04-2019,Verleend
19,Haarlemmerstraat 222312GA,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)H 01943G0000,190684,12-03-2019,14-03-2019,Verleend
20,Haarlemmerstraat 1272312DN,Aanvraag Drank- en Horecaverlof regulierdrank- en horecaverlof,190649,08-03-2019,02-04-2019,Verleend
21,Haarlemmerstraat 1412312DN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw ruimte boven winkel naar drie appartementenH 03504,190656,08-03-2019,,
22,Haarlemmerstraat 2352312DR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar tatoeage studio en winkelH 00673G0000,183308,21-12-2018,12-03-2019,Verleend
23,Herensingel 26A2316JT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen woonboot,190090,11-01-2019,07-03-2019,Verleend
24,Herensingel 34B2315LZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen woonark,190061,10-01-2019,07-03-2019,Verleend
25,Hertzstraat 12316DH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverhogen van dakopbouwK 06121G0000,190650,08-03-2019,,
26,Hoge Morsweg 1602332HN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van 8 bomenX 04015,190652,08-03-2019,,
27,Hoge Rijndijk 322313KJ,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)M 02193G0000,190691,13-03-2019,14-03-2019,Verleend
28,Hoge Rijndijk 652313KH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw kantoor naar 3 appartementenQ 00307G0000,190632,07-03-2019,,
29,Hoogstraat 1A2312JA,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)I 02966G0000,190620,06-03-2019,11-03-2019,Verleend
30,Ina Boudier-Bakkerplein 12331HE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen winkelpuiW 07259G0000,190676,11-03-2019,,
31,Jennestraat ,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduretijdelijk plaatsen portocabin tbv huisvesting kinderopvang  naast Catharina Maartendochtershof 14K 05929,190693,12-03-2019,,
32,Joop Vervoornpad 162316EP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen van een kas  tuin 360,190675,08-03-2019,,
33,Maredijk 292316VS,Omgevingsvergunning Omgevingsvergunning Reguliere ProcedureRealiseren dakterrasL 00927G0000,182992,22-11-2018,11-03-2019,Verleend
34,Marnixstraat 2V2316EN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel en wijzigen naar 3 zelfstandige woonruimtenK 05856G0000,190239,28-01-2019,07-03-2019,Verleend
35,Nachtegaallaan 412333XH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen van een kas  tuin 136R 01376G0000,190666,08-03-2019,09-04-2019,Vervallen
36,Nachtegaallaan 412333XH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen van een kas  Tuinvereniging Het Zonneveld 18R 01376G0000,190669,08-03-2019,09-04-2019,Vervallen
37,Niels Bohrweg 12333CA,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduregraafwerk ivm kabels voor het nieuw te bouwen datacenter,190679,12-03-2019,,
38,Nieuwe Rijn 43A2312JG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwkundig splitsen ruimte boven winkel in 6 appartementenI 03177A0002,190610,06-03-2019,,
39,Octavialaan 272314BN,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremaken dakopbouw op het terrasT 06535,190654,08-03-2019,,
40,Ommedijkseweg ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanleg twee tijdelijke uitritten t.b.v. viaduct Ommedijkseweg KW11 RijnlandRouteW 07058,190497,22-02-2019,07-03-2019,Verleend
41,Oostvlietpolder RijnlandRoute ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanleg tijdelijke duiker op werkterrein OostvlietpolderV 02188,190535,26-02-2019,07-03-2019,Verleend
42,Oude Singel 302312RA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebevestigen banier met naamsaanduiding en losse belettering op de gevelB 02868G0000,183192,12-12-2018,07-03-2019,Verleend
43,Raamsteeg 112311PK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen beltableau voorgevelE 00188G0000,190694,13-03-2019,,
44,Schrijverspark ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een buurtBBQ in het SchrijversparkB 05718,181010,13-03-2019,,
45,Sint Jorissteeg 132311JA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen reclame stickersD 00498G0000,190628,07-03-2019,,
46,Spreeuwenplaats 72317WD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurecarport afsluiten en bij hoofdgebouw trekkenS 00475G0000,190116,15-01-2019,08-03-2019,Verleend
47,Stationsweg 232312AS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasL 02099G0000,190615,07-03-2019,,
48,Steenstraat 82312BW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van gevelreclameB 02277G0000,190696,13-03-2019,,
49,Steenstraat 592312BV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gevel  vervangen trappen en wijziging indeling,190682,12-03-2019,,
50,Tesselschadestraat 5A2332BG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen dakkapel voordakvlakR 01253A0002,182860,07-11-2018,08-03-2019,Verleend
51,Utrechtse Jaagpad 132313KX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen kozijnen en plaatsen dubbel glasM 04920G0000,190673,11-03-2019,,
52,Van der Waalsstraat 32313VB,StadsschoonVan der Waalsstraat 1 en 3  Lammenschansweg 74 wijzigen kleur gevelM 05443G0000,190678,11-03-2019,,
53,Volmolengracht 72312PG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouwen woning tot 2 appartementenB 02732,190670,11-03-2019,,
54,Vreewijkstraat 92311XG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiding woning achterzijde en interne doorbrakenM 02239G0000,190700,13-03-2019,,
55,Watergeuzenstraat 172313WX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van zonnepanelenM 08522G0000,190681,12-03-2019,,
56,Willemstraat 72316CR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwK 02099G0000,181147,24-09-2018,11-03-2019,Verleend
57,Witte Singel 542311BL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureschilderwerk kozijnen en vervangen glas voorgevelM 04447G0000,190674,11-03-2019,,
0,2e Binnenvestgracht 5B2312BZ,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten),190605,06-03-2019,11-03-2019,Verleend
1,4e Binnenvestgracht 42311NT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie en transformatie van bovenwoning naar twee appartementenD 00155,190562,01-03-2019,,
2,Aalmarkt 122311EC,Aanvraag Drank- en Horecaverlof regulierdrank- en horecaverlofG 02039G0000,190445,18-02-2019,04-03-2019,Verleend
3,Admiraal Banckertweg 232315SR,Kabels en Leidingen Gebruik Openbare Ruimteaanleggen telecommunicatiekabels Eurofiber Nederland B.V.N 01634G0000,190387,12-02-2019,04-03-2019,Verleend
4,Alexandrine Tinneplein 22331PN,Aanvraag Drank- en Horecaverlof regulierdrank- en horecaverlofW 07310G0000,190575,04-03-2019,04-03-2019,Verleend
5,Ampèrestraat 192316DG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwK 06085G0000,190052,09-01-2019,28-02-2019,Verleend
6,Bargelaan 1882333CW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurelifthal op de 1e verdieping aanpassen,190597,06-03-2019,01-04-2019,Vervallen
7,Bevrijdingsplein 372321BW,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunning (slijterij)O 02272A0001,190453,18-02-2019,04-03-2019,Verleend
8,Bevrijdingsplein 802321CV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van nieuwe handelsreclame,183278,19-12-2018,01-03-2019,Verleend
9,Breestraat 1672311CP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel en dakraamG 02294A0001,190579,04-03-2019,,
10,Burggravenlaan 92313HM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen dakkapelM 06276G0000,190567,06-03-2019,,
11,Choorlammersteeg 1D2311EP,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunningG 02299G0000,190459,18-02-2019,06-03-2019,Verleend
12,Da Costastraat 442321AP,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels Ziggo B.V.O 00792G0000,190369,10-02-2019,04-03-2019,Verleend
13,Doezastraat 412311HA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasE 02043A0003,190606,05-03-2019,,
14,Donkersteeg 132312HA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevernieuwen winkelpui en wijzigen handelsreclameH 04016G0000,183127,05-12-2018,04-03-2019,Verleend
15,Drontermeerlaan 292317GH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van 5 bomen,190574,04-03-2019,11-04-2019,Afgehandeld
16,Egelantiertuin 12317NK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiding bergingS 04571G0000,190131,16-01-2019,04-03-2019,Verleend
17,Einsteinweg 1012333CB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen kunstwerkX 03880G0000,190559,01-03-2019,,
18,Goudkarper 212318ND,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voorS 02877G0000,183154,07-12-2018,06-03-2019,Verleend
19,Haagweg 292321AC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevergroten woning achterzijdeO 03600G0000,182793,29-10-2018,04-03-2019,Verleend
20,Haarlemmerstraat 22312GA,Aanvraag Drank- en Horecaverlof regulierdrank- en horecaverlofH 03449G0000,190183,23-01-2019,04-03-2019,Verleend
21,Haarlemmerstraat 22312GA,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningH 03449G0000,190262,30-01-2019,04-03-2019,Verleend
22,Haarlemmerstraat 22312GA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen gevelreclame op bestaande gevelpuienH 03449G0000,190595,06-03-2019,,
23,Haarlemmerstraat 2512312DS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van gevelreclameH 00697G0000,190547,28-02-2019,12-04-2019,Afgehandeld
24,Herengracht 132312LA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebrandveilig maken van 11 onzelfstandige kamersC 01185G0000,190600,06-03-2019,,
25,Hogewoerd 1602311HW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerevisie gewijzigde indeling badruimten en keukens 1e t/m 3e verdiepingD 01937G0000,190253,29-01-2019,04-03-2019,Verleend
26,Hooigracht 88C2312KX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren twee dakuitbouwen in achterdakvlakI 03210A0005,182811,31-10-2018,06-03-2019,Verleend
27,Houtlaan 552334CK,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurebrandveilig gebruik Alrijne ziekenhuis,181152,23-04-2018,,
28,Ina Boudier-Bakkerplein 12331HE,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningW 07259G0000,190570,04-03-2019,,
29,Ina Boudier-Bakkerstraat 92331AX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen winkelpui,190554,28-02-2019,11-03-2019,Niet ontvankelijk
30,Joop Vervoornpad 162316EP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen tuinschuur  veranda en pergola  tuinnr. 296,190071,09-01-2019,05-03-2019,Verleend
31,Julianastraat 452316NV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouw en na-isolatie buitengevels woningK 02081,182936,15-11-2018,28-02-2019,Verleend
32,Kaasmarkt 102312HZ,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunning,190571,04-03-2019,14-03-2019,Verleend
33,Kanaalpark 1472321JV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurenieuwbouw appartementengebouw met 88 woningen (blok 1)O 04630,181781,29-06-2018,01-03-2019,Verleend
34,Kanaalpark 1592321JW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurenieuwbouw appartementengebouw met 41 woningen (blok 2)O 05903,181783,29-06-2018,05-03-2019,Verleend
35,Kopermolen 442317PB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen gevelreclame,183100,03-12-2018,28-02-2019,Verleend
36,Lammenschansweg 402313DM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevergroten woning en plaatsen dakramenM 05839G0000,190282,01-03-2019,,
37,Langegracht 2312NT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverfraaien en vergroening van de doorgang naar het HuigparkB 03506,183024,26-11-2018,28-02-2019,Verleend
38,Langegracht 762312NH,Stadsschoonaanbrengen witte ondergrond t.b.v. kunstwerkB 03506G0000,190033,04-01-2019,28-02-2019,Verleend
39,Leidse Hout ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen 2 bomenP 03240,190583,05-03-2019,,
40,Levendaal 1682311JR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw kantoorruimte naar woningD 01642,183222,14-12-2018,04-03-2019,Verleend
41,Lorentzkade 2313GB,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels KPN B.V.,190173,21-01-2019,28-02-2019,Verleend
42,Moerbeistraat 432321DJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiding woning op terras 2e verdiepingO 04517G0000,190555,01-03-2019,,
43,Morsweg 1822332ES,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureconstructieve wijziging dakrandP 03335G0000,190572,04-03-2019,,
44,Nieuwe Rijn 12312JB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureinterne verbouwing  realiseren 2 appartementen  samenvoegen Nieuwe Rijn 1 en 2I 00032G0000,190551,28-02-2019,,
45,Nieuwe Rijn 182312JC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerevisie op eerder verleende vergunningI 00050G0000,190577,04-03-2019,,
46,Omegaplantsoen 42321KT,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunning,182107,08-08-2018,06-03-2019,Verleend
47,Papengracht 62311TW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverwijderen brandtrappen en balkons aan de achterzijde en aanbrengen rookmelders,182802,30-10-2018,04-03-2019,Verleend
48,Rapenburg 942311GA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouwen van keuken en maken muuropeningG 01965G0000,190083,11-01-2019,05-03-2019,Verleend
49,Regenboogpad 72317XK,Kabels en Leidingen Telecomaanleggen telecommunicatiekabels Ziggo B.V.S 05319G0000,190269,29-01-2019,28-02-2019,Verleend
50,Rijnsburgerweg 842333AD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen zonnepanelen en zonneboilerR 00907G0000,190590,05-03-2019,,
51,Roodenburgerstraat 112313HH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren aanbouw achtergevelM 04404G0000,190602,06-03-2019,,
52,Rooseveltstraat 782321BM,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels Eurofiber Nederland B.V.O 05650G0000,183201,12-12-2018,22-01-2019,Verleend
53,Sint Jorissteeg 132311JA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasD 00498G0000,190588,05-03-2019,11-03-2019,Afgehandeld
54,Stationsplein 3S2312AJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverlengen 2 perrons,190082,11-01-2019,06-03-2019,Verleend
55,Toussaintkade 512321VX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureherontwikkeling van een voormalig schoolgebouw naar woningenO 02114G0000,182764,28-02-2019,,
